Title,Location,URL,Description,Animal Category,extracted_price
Lab mix.,Sco/Scottsville,https://charlottesville.craigslist.org/pet/d/scottsville-lab-mix/7825619598.html,"QR Code Link to This Post


8 months old. Female. Up to date on shots. Good with kids/ other dogs. Free.",dog,
Rehoming Chocolate Lab,No Location,https://charlottesville.craigslist.org/pet/d/charlottesville-rehoming-chocolate-lab/7825596927.html,"QR Code Link to This Post


In search of a great home for my 4 y/o Chocolate Lab, Gus. Unfortunately, I’m moving and won’t be able to take him. 

Gus is a great dog! Smart, well-behaved, social with other dogs, and great with people.

I’m hoping to find him a home with a backyard and/or active family.

Please reach out with questions or interest!",dog,
Vivarium Electronics VE-200 stat Snake keepers look!,No Location,https://charlottesville.craigslist.org/pet/d/barboursville-vivarium-electronics-ve/7825024153.html,"QR Code Link to This Post


Used about 7 months. Retails for $185 plus tax. $75 firm cash only. Note: picture is of the 100 but I have the 200 model.",reptile,185.0
Need to get rid of this rooster asap,Keswick,https://charlottesville.craigslist.org/pet/d/keswick-need-to-get-rid-of-this-rooster/7824956813.html,"QR Code Link to This Post


This is one of my roosters and I need to find him a new home bc he has attacked me and my grandma a couple of times but is a good hen rooster and is definitely protective of his girls but I can’t go in the coop without having to worry about being attacked",bird,
PVC Enclosures matching cabinet,Barboursville,https://charlottesville.craigslist.org/pet/d/barboursville-pvc-enclosures-matching/7820360773.html,"QR Code Link to This Post


text for info",unknown,
ISO orange cheek waxbill finch,No Location,https://charlottesville.craigslist.org/pet/d/shipman-iso-orange-cheek-waxbill-finch/7823353809.html,"QR Code Link to This Post


ISO orange cheek waxbill finch in the central VA area",bird,
Bolivian Ram Cichlids + Doctor Garra fish,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-bolivian-ram-cichlids/7823225591.html,"QR Code Link to This Post


My bolivian ram cichlids keep reproducing and now my tank is overpopulated. I have at the very least 15 that I need to rehome.

They are free to whoever wants them!

Feel free to text about them!",fish,
Anyone looking too sell there pet rat,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-anyone-looking-too-sell/7822283679.html,"QR Code Link to This Post


I'm looking for a rat as a pet and I'm willing too pay a rehoming fee",rodent,
Leopard geckos,Louisa,https://charlottesville.craigslist.org/pet/d/louisa-leopard-geckos/7821615686.html,"QR Code Link to This Post


Leopard geckos tanks and everything with it   Small rehoming fee",reptile,
Ball Python yearling for rehome,Charlottesville,https://charlottesville.craigslist.org/pet/d/barboursville-ball-python-yearling-for/7813646320.html,"QR Code Link to This Post


Male banana pastel leopard pinstripe mojave Ball Python yearling for rehoming. Hatched  last September. exact hatch date and more pictures if interested.

$120",reptile,120.0
Guinea pigs,Barboursville,https://charlottesville.craigslist.org/pet/d/somerset-guinea-pigs/7820426148.html,"QR Code Link to This Post


Guinea pigs, free to caring good homes,we have many different sizes , ages, colours, they are from a long hair dad mixed with a short hair mom, males and females, most are young , they are healthy good eaters , very friendly pets",rodent,
Jumping Spider accessories Reduced $5 per set,Barboursville,https://charlottesville.craigslist.org/pet/d/barboursville-jumping-spider/7815965920.html,"QR Code Link to This Post


New! 2 round pretty shiny magnetic hides. One blue one purple. Two pieces of netting with magnets about 4 x 8. One is purple one is green. 4 clear magnetic food water dishes. Cost a fortune with shipping!  Can separate in sets of one hide one net 2 dishes per set.  The purple goes together and the deep blue looks good with the green netting. Due to scammers, tell me what town you live in. Shipping cost me more than $5 for each set and for the dishes separately. Of course they are of no use to you if you don't have a jumping spider.",unknown,5.0
