Title,Location,URL
Lab mix.,Sco/Scottsville,https://charlottesville.craigslist.org/pet/d/scottsville-lab-mix/7825619598.html
Rehoming Chocolate Lab,No Location,https://charlottesville.craigslist.org/pet/d/charlottesville-rehoming-chocolate-lab/7825596927.html
Vivarium Electronics VE-200 stat Snake keepers look!,No Location,https://charlottesville.craigslist.org/pet/d/barboursville-vivarium-electronics-ve/7825024153.html
Need to get rid of this rooster asap,Keswick,https://charlottesville.craigslist.org/pet/d/keswick-need-to-get-rid-of-this-rooster/7824956813.html
PVC Enclosures matching cabinet,Barboursville,https://charlottesville.craigslist.org/pet/d/barboursville-pvc-enclosures-matching/7820360773.html
ISO orange cheek waxbill finch,No Location,https://charlottesville.craigslist.org/pet/d/shipman-iso-orange-cheek-waxbill-finch/7823353809.html
Bolivian Ram Cichlids + Doctor Garra fish,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-bolivian-ram-cichlids/7823225591.html
Anyone looking too sell there pet rat,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-anyone-looking-too-sell/7822283679.html
Leopard geckos,Louisa,https://charlottesville.craigslist.org/pet/d/louisa-leopard-geckos/7821615686.html
Ball Python yearling for rehome,Charlottesville,https://charlottesville.craigslist.org/pet/d/barboursville-ball-python-yearling-for/7813646320.html
Guinea pigs,Barboursville,https://charlottesville.craigslist.org/pet/d/somerset-guinea-pigs/7820426148.html
Jumping Spider accessories Reduced $5 per set,Barboursville,https://charlottesville.craigslist.org/pet/d/barboursville-jumping-spider/7815965920.html
Male Chinchillia,No Location,https://charlottesville.craigslist.org/pet/d/montpelier-station-male-chinchillia/7818982383.html
Baby Red Eyed Crocodile Skink,Trevilians,https://charlottesville.craigslist.org/pet/d/trevilians-baby-red-eyed-crocodile-skink/7818342324.html
Guinea pigs,Barboursville,https://charlottesville.craigslist.org/pet/d/somerset-guinea-pigs/7818293993.html
Rex bunny,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-rex-bunny/7817950455.html
Looking for a conure,Shipman,https://charlottesville.craigslist.org/pet/d/shipman-looking-for-conure/7816715117.html
Small Animal Cage,"Madison, Virginia",https://charlottesville.craigslist.org/pet/d/pratts-small-animal-cage/7816664591.html
Australian Shepherd×Great Pyrenees,No Location,https://charlottesville.craigslist.org/pet/d/columbia-australian-shepherdgreat/7816387879.html
Missing older golden retriever - please help,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-missing-older-golden/7815906512.html
2 beautiful guinea pigs,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-beautiful-guinea-pigs/7808399175.html
Silkie rooster,DILLWYN,https://charlottesville.craigslist.org/pet/d/dillwyn-silkie-rooster/7815148469.html
Rehoming Needed: Winston,"Kents Store, VA",https://charlottesville.craigslist.org/pet/d/kents-store-rehoming-needed-winston/7814275424.html
Rex Bucks,No Location,https://charlottesville.craigslist.org/pet/d/louisa-rex-bucks/7813883616.html
